"deployment","image_name","distance","radius","angle","n_poles","pole_in_zone"
"H1R0_03","IMG_0430.JPG",15,21.3704820404073,-0.338063513076187,13,FALSE
"H1R0_03","IMG_0436.JPG",15,14.2079066223128,-0.00458218111992406,13,FALSE
"H1R0_03","IMG_0246.JPG",1.5,1.78649680938918,0.344399706320142,13,TRUE
"H1R0_03","IMG_0260.JPG",3,3.49041274425511,-0.0291063356521656,13,TRUE
"H1R0_03","IMG_0271.JPG",4.5,5.24712703470692,-0.326341270321439,13,TRUE
"H1R0_03","IMG_0287.JPG",6,6.44933169079447,-0.330023274478334,13,TRUE
"H1R0_03","IMG_0294.JPG",6,6.36869457156933,-0.024541025508494,13,TRUE
"H1R0_03","IMG_0300.JPG",6,5.22457605728619,0.371845820624113,13,TRUE
"H1R0_03","IMG_0330.JPG",9,9.24157353666643,-0.329542564213401,13,TRUE
"H1R0_03","IMG_0334.JPG",9,8.92622038052181,-0.0105854038561335,13,TRUE
"H1R0_03","IMG_0350.JPG",10.5,10.8221682424851,-0.330890398069561,13,TRUE
"H1R0_03","IMG_0375.JPG",12,11.5422743084006,-0.00364023001024741,13,TRUE
"H1R0_03","IMG_0398.JPG",13.5,14.6408047797088,-0.333055481423479,13,TRUE
"H1R0_03","IMG_0430.JPG",15,20.3344352346264,-0.337061580687248,13,FALSE
"H1R0_03","IMG_0436.JPG",15,14.0642586978125,-0.00456860072600854,13,FALSE
"H1R0_03","IMG_0234.JPG",1.5,1.97827370285242,-0.317192966737935,13,TRUE
"H1R0_03","IMG_0253.JPG",3,3.53185003466972,-0.328303982361162,13,TRUE
"H1R0_03","IMG_0260.JPG",3,3.86995866523204,-0.0290223359787571,13,TRUE
"H1R0_03","IMG_0271.JPG",4.5,5.46480820963067,-0.325399462996247,13,TRUE
"H1R0_03","IMG_0277.JPG",4.5,5.48723990383416,-0.0357193788333458,13,TRUE
"H1R0_03","IMG_0294.JPG",6,6.76464620068929,-0.024470201130171,13,TRUE
"H1R0_03","IMG_0310.JPG",7.5,7.5642708540346,-0.330556538012231,13,TRUE
"H1R0_03","IMG_0317.JPG",7.5,8.21303832292579,-0.0187291276621649,13,TRUE
"H1R0_03","IMG_0323.JPG",7.5,6.98734728326902,0.372916977613831,13,TRUE
"H1R0_03","IMG_0370.JPG",12,11.0982631884349,-0.332242644239653,13,TRUE
"H1R0_03","IMG_0375.JPG",12,11.4512806570107,-0.00362972445792895,13,TRUE
"H1R0_03","IMG_0398.JPG",13.5,12.6895286225294,-0.332094297164464,13,TRUE
"H1R0_03","IMG_0418.JPG",13.5,15.1133983252767,0.375666620027866,13,TRUE
"H1R0_03","IMG_0260.JPG",3,3.48165778535709,-0.0291852705608254,13,TRUE
"H1R0_03","IMG_0263.JPG",3,3.09343563616945,0.364678159137061,13,TRUE
"H1R0_03","IMG_0287.JPG",6,6.31608957152079,-0.330918280889923,13,TRUE
"H1R0_03","IMG_0294.JPG",6,6.33541703392905,-0.0246075795271819,13,TRUE
"H1R0_03","IMG_0310.JPG",7.5,7.44978127080431,-0.332412318725761,13,TRUE
"H1R0_03","IMG_0330.JPG",9,8.96661689724202,-0.33043626696309,13,TRUE
"H1R0_03","IMG_0353.JPG",10.5,10.2341713712663,-0.0100188674458461,13,TRUE
"H1R0_03","IMG_0375.JPG",12,11.4452968668467,-0.00365010212973347,13,TRUE
"H1R0_03","IMG_0398.JPG",13.5,13.9485824307242,-0.333958711026786,13,FALSE
"H1R0_03","IMG_0406.JPG",13.5,12.6409419147399,-0.00472466215867379,13,FALSE
"H1R0_03","IMG_0418.JPG",13.5,14.4539851540479,0.377775653696833,13,FALSE
"H1R0_03","IMG_0430.JPG",15,19.0041319100465,-0.337975674628933,13,FALSE
"H1R0_03","IMG_0436.JPG",15,13.9158233831511,-0.00458099053987314,13,FALSE
"H1R0_03","IMG_0260.JPG",3,3.05732142776633,-0.0293928460136983,13,TRUE
"H1R0_03","IMG_0263.JPG",3,2.67941816337284,0.367271872766612,13,TRUE
"H1R0_03","IMG_0271.JPG",4.5,4.70852015071832,-0.329553634682939,13,TRUE
"H1R0_03","IMG_0300.JPG",6,4.73129612695489,0.375506112382397,13,TRUE
"H1R0_03","IMG_0310.JPG",7.5,7.11631115348068,-0.334776546854339,13,TRUE
"H1R0_03","IMG_0323.JPG",7.5,5.69989821551821,0.377677775728325,13,TRUE
"H1R0_03","IMG_0330.JPG",9,8.83793246069306,-0.332786440747416,13,TRUE
"H1R0_03","IMG_0334.JPG",9,8.55911963302375,-0.0106896020596462,13,TRUE
"H1R0_03","IMG_0353.JPG",10.5,10.1367313759385,-0.010090124998282,13,TRUE
"H1R0_03","IMG_0375.JPG",12,11.5977627270789,-0.0036760628828138,13,TRUE
"H1R0_03","IMG_0398.JPG",13.5,15.3649764362788,-0.336333937617123,13,TRUE
"H1R0_03","IMG_0418.JPG",13.5,14.95615812952,0.380462521109525,13,TRUE
"H1R0_03","IMG_0430.JPG",15,23.7790177292925,-0.340379471214437,13,TRUE
"H1R0_03","IMG_0234.JPG",1.5,1.90554743384988,-0.316380082630161,13,TRUE
"H1R0_03","IMG_0239.JPG",1.5,2.01711868079973,-0.0468744838748034,13,TRUE
